,rank,year,movie,wwbox_office,dombox_office,internationalbox_office,url,genre,production_companies,inflation_rank,infl_gross_box_office,actors,directors,main,number_of_stars,director_main,number_of_directors,production_companies_main,number_of_production_companies
0,1,2009,Avatar,2845899541.0,760507625.0,2085391916.0,/movie/Avatar,Action,"['Dune-Entertainment', '20th-Century-Fox', 'Ingenious-Film-Partners']",5,904178608.0,"['Sam Worthington', 'Zoe Saldana']",['James Cameron'],Sam Worthington,2,James Cameron,1,Dune-Entertainment,3
1,2,2019,Avengers: Endgame,2797800564.0,858373000.0,1939427564.0,/movie/Avengers-Endgame-(2019),Action,['Marvel-Studios'],7,858373002.0,"['Robert Downey, Jr.', 'Chris Evans', 'Mark Ruffalo']","['Joe Russo', 'Anthony Russo']","Robert Downey, Jr.",3,Joe Russo,2,Marvel-Studios,1
2,3,1997,Titanic,2207986545.0,659363944.0,1548622601.0,/movie/Titanic-(1997),Drama,"['20th-Century-Fox', 'Paramount-Pictures', 'Lightstorm-Entertainment']",2,1247410568.0,"['Leonardo DiCaprio', 'Kate Winslet']",['James Cameron'],Leonardo DiCaprio,2,James Cameron,1,20th-Century-Fox,3
3,4,2015,Star Wars Ep. VII: The Force Awakens,2064615817.0,936662225.0,1127953592.0,/movie/Star-Wars-Ep-VII-The-Force-Awakens,Adventure,"['Lucasfilm', 'Bad-Robot']",4,1012399043.0,"['Adam Driver', 'Daisy Ridley', 'John Boyega']",['J.J. Abrams'],Adam Driver,3,J.J. Abrams,1,Lucasfilm,2
4,5,2018,Avengers: Infinity War,2044540523.0,678815482.0,1365725041.0,/movie/Avengers-Infinity-War,Action,['Marvel-Studios'],18,682541141.0,"['Robert Downey, Jr.', 'Chris Hemsworth', 'Mark Ruffalo']","['Joe Russo', 'Anthony Russo']","Robert Downey, Jr.",3,Joe Russo,2,Marvel-Studios,1
5,6,2015,Jurassic World,1669979967.0,652306625.0,1017673342.0,/movie/Jurassic-World,Action,"['Universal-Pictures', 'Amblin-Entertainment', 'Legendary-Pictures']",15,708790321.0,['Chris Pratt'],['Colin Trevorrow'],Chris Pratt,1,Colin Trevorrow,1,Universal-Pictures,3
6,7,2019,The Lion King,1654371405.0,543638043.0,1110733362.0,/movie/Lion-King-The-(Live-Action)-(2019),Adventure,"['Walt-Disney-Pictures', 'Fairview-Entertainment']",38,543638043.0,"['Donald Glover', 'BeyoncÃ© Knowles', 'James Earl Jones']",['Jon Favreau'],Donald Glover,3,Jon Favreau,1,Walt-Disney-Pictures,2
7,8,2015,Furious 7,1516881526.0,353007020.0,1163874506.0,/movie/Furious-7,Action,"['Original-Film', 'One-Race-Films', 'Universal-Pictures', 'MRC', 'China-Film-Company', 'Dentsu-Inc']",124,383575834.0,"['Vin Diesel', 'Paul Walker']",['James Wan'],Vin Diesel,2,James Wan,1,Original-Film,6
8,9,2012,The Avengers,1515100211.0,623357910.0,891742301.0,/movie/Avengers-The-(2012),Action,"['Marvel-Studios', 'Paramount-Pictures']",14,717331462.0,"['Tom Hiddleston', 'Robert Downey, Jr.', 'Chris Evans']",['Joss Whedon'],Tom Hiddleston,3,Joss Whedon,1,Marvel-Studios,2
9,10,2019,Frozen II,1446925396.0,477373578.0,969551818.0,/movie/Frozen-II-(2019),Adventure,['Walt-Disney-Animation-Studios'],62,477373578.0,"['Kristen Bell', 'Idina Menzel', 'Josh Gad']","['Jennifer Lee', 'Chris Buck']",Kristen Bell,3,Jennifer Lee,2,Walt-Disney-Animation-Studios,1
10,11,2015,Avengers: Age of Ultron,1395316979.0,459005868.0,936311111.0,/movie/Avengers-Age-of-Ultron,Action,['Marvel-Studios'],54,498753701.0,"['James Spader', 'Robert Downey, Jr.', 'Chris Hemsworth']",['Joss Whedon'],James Spader,3,Joss Whedon,1,Marvel-Studios,1
11,12,2018,Black Panther,1336494321.0,700059566.0,636434755.0,/movie/Black-Panther,Action,['Marvel-Studios'],16,703901821.0,"['Chadwick Boseman', 'Michael B. Jordan', ""Lupita Nyong'o""]",['Ryan Coogler'],Chadwick Boseman,3,Ryan Coogler,1,Marvel-Studios,1
12,13,2011,Harry Potter and the Deathly Hallows:…,1334392544.0,381193157.0,953199387.0,/movie/Harry-Potter-and-the-Deathly-Hallows-Part-II,Adventure,"['Warner-Bros', 'Heyday-Films']",74,440108798.0,"['Ralph Fiennes', 'Daniel Radcliffe', 'Rupert Grint']",['David Yates'],Ralph Fiennes,3,David Yates,1,Warner-Bros,2
13,14,2017,Star Wars Ep. VIII: The Last Jedi,1331635141.0,620181382.0,711453759.0,/movie/Star-Wars-Ep-VIII-The-Last-Jedi,Adventure,"['Lucasfilm', 'Walt-Disney-Pictures']",24,631702051.0,"['Mark Hamill', 'Carrie Fisher', 'Adam Driver']",['Rian Johnson'],Mark Hamill,3,Rian Johnson,1,Lucasfilm,2
14,15,2018,Jurassic World: Fallen Kingdom,1308334005.0,417719760.0,890614245.0,/movie/Jurassic-World-Fallen-Kingdom-(2018),Action,"['Universal-Pictures', 'Amblin-Entertainment', 'Kennedy-Marshall-Company-The', 'Legendary-Pictures', 'Perfect-World-Pictures']",86,420012408.0,"['Chris Pratt', 'Bryce Dallas Howard']",['J.A. Bayona<sup>*</sup>'],Chris Pratt,2,J.A. Bayona<sup>*</sup>,1,Universal-Pictures,5
15,16,2013,Frozen,1266648320.0,400953009.0,865695311.0,/movie/Frozen-(2013),Musical,['Walt-Disney-Animation-Studios'],70,451149053.0,"['Kristen Bell', 'Idina Menzel', 'Jonathan Groff']","['Chris Buck', 'Jennifer Lee']",Kristen Bell,3,Chris Buck,2,Walt-Disney-Animation-Studios,1
16,17,2017,Beauty and the Beast,1255080655.0,504014165.0,751066490.0,/movie/Beauty-and-the-Beast-(2017),Musical,"['Walt-Disney-Pictures', 'Mandeville-Films']",48,514690049.0,"['Emma Watson', 'Dan Stevens', 'Luke Evans']",['Bill Condon'],Emma Watson,3,Bill Condon,1,Walt-Disney-Pictures,2
17,18,2018,Incredibles 2,1242805359.0,608581744.0,634223615.0,/movie/Incredibles-2,Adventure,['Pixar'],28,611921929.0,"['Craig T. Nelson', 'Holly Hunter', 'Sarah Vowell']",['Brad Bird'],Craig T. Nelson,3,Brad Bird,1,Pixar,1
18,19,2017,The Fate of the Furious,1236703796.0,225764765.0,1010939031.0,/movie/Fate-of-the-Furious-The,Action,"['Universal-Pictures', 'Original-Film', 'One-Race-Films']",371,230546849.0,"['Vin Diesel', 'Dwayne Johnson', 'Jason Statham']",['F. Gary Gray'],Vin Diesel,3,F. Gary Gray,1,Universal-Pictures,3
19,20,2013,Iron Man 3,1215392272.0,408992272.0,806400000.0,/movie/Iron-Man-3,Action,"['Marvel-Studios', 'Paramount-Pictures', 'DMG-Entertainment']",66,460808016.0,"['Robert Downey, Jr.', 'Gwyneth Paltrow', 'Don Cheadle']",['Shane Black'],"Robert Downey, Jr.",3,Shane Black,1,Marvel-Studios,3
20,21,2015,Minions,1159631140.0,336045770.0,823585370.0,/movie/Minions,Adventure,"['Universal-Pictures', 'Illumination-Entertainment']",138,365145822.0,"['Steve Carell', 'Sandra Bullock', 'Jon Hamm']","['Pierre Coffin', 'Kyle Balda']",Steve Carell,3,Pierre Coffin,2,Universal-Pictures,2
21,22,2016,Captain America: Civil War,1151918521.0,408084349.0,743834172.0,/movie/Captain-America-Civil-War,Action,['Marvel-Studios'],79,432144810.0,"['Chris Evans', 'Robert Downey, Jr.', 'Scarlett Johansson']","['Anthony Russo', 'Joe Russo']",Chris Evans,3,Anthony Russo,2,Marvel-Studios,1
22,23,2018,Aquaman,1143758700.0,335061807.0,808696893.0,/movie/Aquaman-(2018),Action,"['Warner-Bros', 'DC-Films', 'RatPac-Entertainment', 'Safran-Company-The', 'Cruel-and-Unusual-Films', 'Mad-Ghost-Productions']",175,336154340.0,"['Jason Momoa', 'Amber Heard', 'Willem Dafoe']",['James Wan'],Jason Momoa,3,James Wan,1,Warner-Bros,6
23,24,2019,Spider-Man: Far From Home,1131113066.0,390532085.0,740580981.0,/movie/Spider-Man-Far-From-Home-(2019),Action,"['Columbia-Pictures', 'Marvel-Studios', 'Pascal-Pictures']",108,390532085.0,"['Tom Holland', 'Samuel L. Jackson', 'Zendaya']",['Jon Watts'],Tom Holland,3,Jon Watts,1,Columbia-Pictures,3
24,25,2019,Captain Marvel,1129727388.0,426829839.0,702897549.0,/movie/Captain-Marvel-(2019),Action,['Marvel-Studios'],82,426829839.0,"['Brie Larson', 'Samuel L. Jackson', 'Ben Mendelsohn']","['Anna Boden', 'Ryan Fleck']",Brie Larson,3,Anna Boden,2,Marvel-Studios,1
25,26,2011,Transformers: Dark of the Moon,1123794079.0,352390543.0,771403536.0,/movie/Transformers-Dark-of-the-Moon-(2011),Action,"['Paramount-Pictures', 'di-Bonaventura-Pictures', 'Hasbro-Studios']",94,407048847.0,['Shia LaBeouf'],['Michael Bay'],Shia LaBeouf,1,Michael Bay,1,Paramount-Pictures,3
26,27,2003,The Lord of the Rings: The Return of …,1120214046.0,377845905.0,742368141.0,/movie/Lord-of-the-Rings-The-Return-of-the-King-The,Adventure,"['Wingnut-Films', 'New-Line-Cinema']",32,569863752.0,"['Ian McKellen', 'Viggo Mortensen', 'Olando Bloom<sup>*</sup>']",['Peter Jackson'],Ian McKellen,3,Peter Jackson,1,Wingnut-Films,2
27,28,2012,Skyfall,1110526981.0,304360277.0,806166704.0,/movie/Skyfall,Action,"['Eon-Productions', 'B23', 'Metro-Goldwyn-Mayer-Pictures', 'Columbia-Pictures']",154,350061913.0,"['Daniel Craig', 'Javier Bardem']",['Sam Mendes'],Daniel Craig,2,Sam Mendes,1,Eon-Productions,4
28,29,2014,Transformers: Age of Extinction,1104054072.0,245439076.0,858614996.0,/movie/Transformers-Age-of-Extinction,Action,"['di-Bonaventura-Pictures', 'Tom-DeSanto', 'Don-Murphy']",267,275180158.0,"['Mark Wahlberg', 'Nicola Peltz', 'Jack Reynor']",['Michael Bay'],Mark Wahlberg,3,Michael Bay,1,di-Bonaventura-Pictures,3
29,30,2012,The Dark Knight Rises,1082228107.0,448139099.0,634089008.0,/movie/Dark-Knight-Rises-The,Action,"['Warner-Bros', 'Legendary-Pictures', 'Syncopy']",45,515697750.0,['Christian Bale'],['Christopher Nolan'],Christian Bale,1,Christopher Nolan,1,Warner-Bros,3
30,31,2019,Toy Story 4,1073080329.0,434038008.0,639042321.0,/movie/Toy-Story-4-(2019),Adventure,['Pixar'],77,434038008.0,"['Tom Hanks', 'Tim Allen', 'Annie Potts']",['Josh Cooley'],Tom Hanks,3,Josh Cooley,1,Pixar,1
31,32,2019,Star Wars: The Rise of Skywalker,1072848487.0,515202542.0,557645945.0,/movie/Star-Wars-The-Rise-of-Skywalker-(2019),Adventure,"['Lucasfilm', 'Bad-Robot', 'Walt-Disney-Pictures']",46,515202542.0,"['Mark Hamill', 'Adam Driver', 'Daisy Ridley']",['J.J. Abrams'],Mark Hamill,3,J.J. Abrams,1,Lucasfilm,3
32,33,2019,Joker,1072507517.0,335451311.0,737056206.0,/movie/Joker-(2019),Thriller-or-Suspense,"['Village-Roadshow-Productions', 'Warner-Bros', 'Bron-Creative', 'Joint-Effort']",177,335451311.0,['Joaquin Phoenix'],['Todd Phillips'],Joaquin Phoenix,1,Todd Phillips,1,Village-Roadshow-Productions,4
33,34,2010,Toy Story 3,1068879522.0,415004880.0,653874642.0,/movie/Toy-Story-3,Adventure,"['Walt-Disney-Pictures', 'Pixar']",59,481805411.0,"['Tom Hanks', 'Tim Allen']",['Lee Unkrich'],Tom Hanks,2,Lee Unkrich,1,Walt-Disney-Pictures,2
34,35,2006,Pirates of the Caribbean: Dead Manâs …,1066179725.0,423315812.0,642863913.0,/movie/Pirates-of-the-Caribbean-Dead-Mans-Chest,Adventure,"['Walt-Disney-Pictures', 'Jerry-Bruckheimer']",29,591995851.0,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",['Gore Verbinski'],Johnny Depp,3,Gore Verbinski,1,Walt-Disney-Pictures,2
35,36,2016,Rogue One: A Star Wars Story,1055135598.0,532177324.0,522958274.0,/movie/Rogue-One-A-Star-Wars-Story,Adventure,['Lucasfilm'],34,559504855.0,"['Felicity Jones', 'Diego Luna', 'Ben Mendelsohn']",['Gareth Edwards'],Felicity Jones,3,Gareth Edwards,1,Lucasfilm,1
36,37,2019,Aladdin,1046649706.0,355559216.0,691090490.0,/movie/Aladdin-(2019),Adventure,"['Walt-Disney-Pictures', 'Rideback']",152,355559216.0,"['Mena Massoud', 'Naomi Scott', 'Will Smith']",['Guy Ritchie'],Mena Massoud,3,Guy Ritchie,1,Walt-Disney-Pictures,2
37,38,2011,Pirates of the Caribbean: On Stranger…,1045713802.0,241071802.0,804642000.0,/movie/Pirates-of-the-Caribbean-On-Stranger-Tides,Adventure,['Walt-Disney-Pictures'],257,278463771.0,"['Johnny Depp', 'PenÃ©lope Cruz', 'Geoffrey Rush']",['Rob Marshall'],Johnny Depp,3,Rob Marshall,1,Walt-Disney-Pictures,1
38,39,1993,Jurassic Park,1045573035.0,402523348.0,643049687.0,/movie/Jurassic-Park,Adventure,"['Universal-Pictures', 'Amblin-Entertainment']",9,841459978.0,[],['Steven Spielberg'],,0,Steven Spielberg,1,Universal-Pictures,2
39,40,2017,Despicable Me 3,1032596894.0,264624300.0,767972594.0,/movie/Despicable-Me-3,Adventure,"['Universal-Pictures', 'Illumination-Entertainment']",281,270229490.0,"['Steve Carell', 'Kristen Wiig', 'Trey Parker']","['Pierre Coffin', 'Kyle Balda']",Steve Carell,3,Pierre Coffin,2,Universal-Pictures,2
40,41,1999,Star Wars Ep. I: The Phantom Menace,1027044677.0,474544677.0,552500000.0,/movie/Star-Wars-Ep-I-The-Phantom-Menace,Adventure,"['Lucasfilm', '20th-Century-Fox']",11,827257380.0,"['Liam Neeson', 'Ewan McGregor', 'Natalie Portman']",['George Lucas'],Liam Neeson,3,George Lucas,1,Lucasfilm,2
41,42,2010,Alice in Wonderland,1025491110.0,334191110.0,691300000.0,/movie/Alice-in-Wonderland-(2010),Adventure,"['Walt-Disney-Pictures', 'Roth-Films', 'Zanuck-Company']",114,387983589.0,"['Johnny Depp', 'Alan Rickman']",['Tim Burton'],Johnny Depp,2,Tim Burton,1,Walt-Disney-Pictures,3
42,43,2016,Finding Dory,1025006125.0,486295561.0,538710564.0,/movie/Finding-Dory,Adventure,['Pixar'],47,514967322.0,['Ellen DeGeneres'],['Andrew Stanton'],Ellen DeGeneres,1,Andrew Stanton,1,Pixar,1
43,44,2012,The Hobbit: An Unexpected Journey,1014938545.0,303003568.0,711934977.0,/movie/Hobbit-An-Unexpected-Journey-The,Adventure,"['New-Line-Cinema', 'Metro-Goldwyn-Mayer-Pictures', 'Wingnut-Films']",157,347739999.0,['Martin Freeman'],['Peter Jackson'],Martin Freeman,1,Peter Jackson,1,New-Line-Cinema,3
44,45,2016,Zootopia,1005304638.0,341268248.0,664036390.0,/movie/Zootopia-(2016),Adventure,"['Walt-Disney-Pictures', 'Walt-Disney-Animation-Studios']",145,361389260.0,"['Ginnifer Goodwin', 'Jason Bateman']","['Byron Howard', 'Rich Moore']",Ginnifer Goodwin,2,Byron Howard,2,Walt-Disney-Pictures,2
45,46,2008,The Dark Knight,999046281.0,533720947.0,465325334.0,/movie/Dark-Knight-The,Action,"['Legendary-Pictures', 'Warner-Bros', 'Syncopy']",19,680296309.0,"['Christian Bale', 'Heath Ledger']",['Christopher Nolan'],Christian Bale,2,Christopher Nolan,1,Legendary-Pictures,3
46,47,1994,The Lion King,986214868.0,421785283.0,564429585.0,/movie/Lion-King-The,Adventure,['Walt-Disney-Pictures'],10,832092394.0,"['Rowan Atkinson', 'Matthew Broderick', 'Robert Guillaume']","['Roger Allers', 'Rob Minkoff']",Rowan Atkinson,3,Roger Allers,2,Walt-Disney-Pictures,1
47,48,2013,Despicable Me 2,975216835.0,368065385.0,607151450.0,/movie/Despicable-Me-2,Adventure,"['Universal-Pictures', 'Chris-Meledandri', 'Illumination-Entertainment']",88,414695440.0,"['Steve Carell', 'Kristen Wiig']","['Chris Renaud', 'Pierre Coffin']",Steve Carell,2,Chris Renaud,2,Universal-Pictures,3
48,49,2001,Harry Potter and the Sorcererâs Stone,965054122.0,317871467.0,647182655.0,/movie/Harry-Potter-and-the-Sorcerers-Stone,Adventure,"['Heyday-Films', '1492-Pictures', 'Duncan-Henderson-Productions']",49,513238730.0,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",['Chris Columbus'],Daniel Radcliffe,3,Chris Columbus,1,Heyday-Films,3
49,50,2017,Jumanji: Welcome to the Jungle,961613199.0,404508916.0,557104283.0,/movie/Jumanji-Welcome-to-the-Jungle,Adventure,"['Columbia-Pictures', 'Matt-Tolmach-Productions', 'Seven-Bucks-Productions']",93,409381248.0,"['Dwayne Johnson', 'Jack Black', 'Kevin Hart']",['Jake Kasdan'],Dwayne Johnson,3,Jake Kasdan,1,Columbia-Pictures,3
50,51,2007,Pirates of the Caribbean: At Worldâs …,960996492.0,309420425.0,651576067.0,/movie/Pirates-of-the-Caribbean-At-Worlds-End,Adventure,"['Walt-Disney-Pictures', 'Jerry-Bruckheimer']",92,411960906.0,"['Johnny Depp', 'Geoffrey Rush', 'Orlando Bloom']",['Gore Verbinski'],Johnny Depp,3,Gore Verbinski,1,Walt-Disney-Pictures,2
51,52,2013,The Hobbit: The Desolation of Smaug,959358436.0,258241522.0,701116914.0,/movie/Hobbit-The-Desolation-of-Smaug-The,Adventure,['Wingnut-Films'],236,290796795.0,['Martin Freeman'],['Peter Jackson'],Martin Freeman,1,Peter Jackson,1,Wingnut-Films,1
52,53,2010,Harry Potter and the Deathly Hallows:…,955371891.0,296131568.0,659240323.0,/movie/Harry-Potter-and-the-Deathly-Hallows-Part-I,Adventure,"['Heyday-Films', 'Warner-Bros']",164,343552835.0,"['Emma Watson', 'Daniel Radcliffe', 'Rupert Grint']",['David Yates'],Emma Watson,3,David Yates,1,Heyday-Films,2
53,54,2016,The Jungle Book,953554418.0,364001123.0,589553295.0,/movie/Jungle-Book-The-(2016),Adventure,"['Walt-Disney-Pictures', 'Fairview-Entertainment']",120,385462455.0,"['Bill Murray', 'Ben Kingsley', 'Idris Elba']",['Jon Favreau'],Bill Murray,3,Jon Favreau,1,Walt-Disney-Pictures,2
54,55,2014,The Hobbit: The Battle of the Five Ar…,941560732.0,255119788.0,686440944.0,/movie/Hobbit-The-Battle-of-the-Five-Armies-The,Adventure,"['New-Line-Cinema', 'Wingnut-Films', 'Metro-Goldwyn-Mayer-Pictures']",242,284840313.0,['Martin Freeman'],['Peter Jackson'],Martin Freeman,1,Peter Jackson,1,New-Line-Cinema,3
55,56,2007,Harry Potter and the Order of the Pho…,940743940.0,292137260.0,648606680.0,/movie/Harry-Potter-and-the-Order-of-the-Phoenix,Adventure,['Heyday-Films'],112,388773749.0,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",['David Yates'],Daniel Radcliffe,3,David Yates,1,Heyday-Films,1
56,57,2003,Finding Nemo,936094852.0,380529370.0,555565482.0,/movie/Finding-Nemo,Adventure,"['Pixar', 'Walt-Disney-Pictures']",33,563017889.0,"['Albert Brooks', 'Ellen DeGeneres', 'Barry Humphries']",['Andrew Stanton'],Albert Brooks,3,Andrew Stanton,1,Pixar,2
57,58,2004,Shrek 2,935253978.0,441226247.0,494027731.0,/movie/Shrek-2,Adventure,"['PDI', 'DreamWorks-Animation', 'DreamWorks-Pictures']",21,650826473.0,"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz']","['Conrad Vernon', 'Kelly Asbury', 'Andrew Adamson']",Mike Myers,3,Conrad Vernon,3,PDI,3
58,59,2009,Harry Potter and the Half-Blood Prince,930673167.0,302089278.0,628583889.0,/movie/Harry-Potter-and-the-Half-Blood-Prince,Adventure,['Heyday-Films'],133,368792830.0,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",['David Yates'],Daniel Radcliffe,3,David Yates,1,Heyday-Films,1
59,60,2002,The Lord of the Rings: The Two Towers,919148764.0,342548984.0,576599780.0,/movie/Lord-of-the-Rings-The-Two-Towers-The,Adventure,['Wingnut-Films'],40,535165782.0,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen']",['Peter Jackson'],Elijah Wood,3,Peter Jackson,1,Wingnut-Films,1
60,61,2007,Spider-Man 3,894860230.0,336530303.0,558329927.0,/movie/Spider-Man-3,Adventure,"['Columbia-Pictures', 'Marvel-Studios', 'Laura-Ziskin-Productions']",71,448054878.0,['Tobey Maguire'],['Sam Raimi'],Tobey Maguire,1,Sam Raimi,1,Columbia-Pictures,3
61,62,2018,Bohemian Rhapsody,891472999.0,216303339.0,675169660.0,/movie/Bohemian-Rhapsody-(2018),Drama,"['20th-Century-Fox', 'GK-Films', 'Regency-Enterprises', 'Queen-Films', 'Tribeca-Film']",414,217345118.0,['Rami Malek'],['Bryan Singer'],Rami Malek,1,Bryan Singer,1,20th-Century-Fox,5
62,63,2005,Harry Potter and the Goblet of Fire,891320084.0,290201752.0,601118332.0,/movie/Harry-Potter-and-the-Goblet-of-Fire,Adventure,"['Warner-Bros', 'Heyday-Films']",90,413979092.0,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",['Mike Newell'],Daniel Radcliffe,3,Mike Newell,1,Warner-Bros,2
63,64,2001,The Lord of the Rings: The Fellowship…,891216824.0,315544750.0,575672074.0,/movie/Lord-of-the-Rings-The-Fellowship-of-the-Ring-The,Adventure,"['New-Line-Cinema', 'Wingnut-Films']",50,505760093.0,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen']",['Peter Jackson'],Elijah Wood,3,Peter Jackson,1,New-Line-Cinema,2
64,65,2009,Ice Age: Dawn of the Dinosaurs,886686817.0,196573705.0,690113112.0,/movie/Ice-Age-Dawn-of-the-Dinosaurs,Adventure,['Blue-Sky-Studios'],351,240082015.0,"['Ray Romano', 'John Leguizamo', 'Denis Leary']",['Carlos Saldanha'],Ray Romano,3,Carlos Saldanha,1,Blue-Sky-Studios,1
65,66,2016,The Secret Life of Pets,885302500.0,368384330.0,516918170.0,/movie/Secret-Life-of-Pets-The,Adventure,"['Illumination-Entertainment', 'Universal-Pictures', 'Chris-Meledandri', 'Dentsu-Inc', 'Fuji-Television-Network']",109,390104092.0,"['Louis C.K.', 'Eric Stonestreet', 'Kevin Hart']",['Chris Renaud'],Louis C.K.,3,Chris Renaud,1,Illumination-Entertainment,5
66,67,2017,Spider-Man: Homecoming,880166350.0,334201140.0,545965210.0,/movie/Spider-Man-Homecoming,Action,"['Marvel-Studios', 'Columbia-Pictures', 'LStar-Capital']",167,341280092.0,"['Tom Holland', 'Michael Keaton', 'Zendaya']",['Jon Watts'],Tom Holland,3,Jon Watts,1,Marvel-Studios,3
67,68,2012,Ice Age: Continental Drift,879765137.0,161321843.0,718443294.0,/movie/Ice-Age-Continental-Drift,Adventure,"['20th-Century-Fox', 'Blue-Sky-Studios']",550,185638877.0,"['Ray Romano', 'John Leguizamo', 'Denis Leary']","['Steve Martino', 'Michael Thurmeier']",Ray Romano,3,Steve Martino,2,20th-Century-Fox,2
68,69,2015,Spectre,879500760.0,200074175.0,679426585.0,/movie/Spectre,Action,['Eon-Productions'],415,217317574.0,['Daniel Craig'],['Sam Mendes'],Daniel Craig,1,Sam Mendes,1,Eon-Productions,1
69,70,2002,Harry Potter and the Chamber of Secrets,876508805.0,262233381.0,614275424.0,/movie/Harry-Potter-and-the-Chamber-of-Secrets,Adventure,"['Warner-Bros', 'Heyday-Films', '1492-Pictures']",91,412479124.0,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",['Chris Columbus'],Daniel Radcliffe,3,Chris Columbus,1,Warner-Bros,3
70,71,2016,Batman v Superman: Dawn of Justice,872395091.0,330360194.0,542034897.0,/movie/Batman-v-Superman-Dawn-of-Justice,Action,"['Warner-Bros', 'RatPac-Entertainment', 'Dune-Entertainment', 'Atlas-Entertainment', 'Cruel-and-Unusual-Films']",155,349838079.0,"['Henry Cavill', 'Ben Affleck', 'Amy Adams']",['Zack Snyder'],Henry Cavill,3,Zack Snyder,1,Warner-Bros,5
71,72,2017,Guardians of the Galaxy Vol 2,869113101.0,389813101.0,479300000.0,/movie/Guardians-of-the-Galaxy-Vol-2,Action,['Marvel-Studios'],105,398070004.0,"['Chris Pratt', 'Zoe Saldana', 'Dave Bautista']",['James Gunn'],Chris Pratt,3,James Gunn,1,Marvel-Studios,1
72,73,2013,The Hunger Games: Catching Fire,864868047.0,424668047.0,440200000.0,/movie/Hunger-Games-Catching-Fire-The,Adventure,"['Lionsgate', 'Color-Force']",61,478373077.0,['Jennifer Lawrence'],['Francis Lawrence'],Jennifer Lawrence,1,Francis Lawrence,1,Lionsgate,2
73,74,2015,Inside Out,855038387.0,356461711.0,498576676.0,/movie/Inside-Out-(2015),Adventure,['Pixar'],116,387329684.0,"['Amy Poehler', 'Phyllis Smith', 'Bill Hader']",['Pete Docter'],Amy Poehler,3,Pete Docter,1,Pixar,1
74,75,2018,Venom,853530899.0,213511408.0,640019491.0,/movie/Venom-(2018),Action,"['Columbia-Pictures', 'Tencent-Pictures', 'Marvel-Studios', 'Arad-Productions', 'Matt-Tolmach-Productions', 'Pascal-Pictures']",428,214682801.0,"['Tom Hardy', 'Michelle Williams', 'Riz Ahmed']",['Ruben Fleischer'],Tom Hardy,3,Ruben Fleischer,1,Columbia-Pictures,6
75,76,2017,Thor: Ragnarok,850482778.0,315058289.0,535424489.0,/movie/Thor-Ragnarok,Action,['Marvel-Studios'],190,321671601.0,"['Chris Hemsworth', 'Tom Hiddleston', 'Cate Blanchett']",['Taika Waititi'],Chris Hemsworth,3,Taika Waititi,1,Marvel-Studios,1
76,77,2005,Star Wars Ep. III: Revenge of the Sith,848998877.0,380270577.0,468728300.0,/movie/Star-Wars-Ep-III-Revenge-of-the-Sith,Adventure,['Lucasfilm'],39,543413171.0,"['Ewan McGregor', 'Natalie Portman', 'Hayden Christensen']",['George Lucas'],Ewan McGregor,3,George Lucas,1,Lucasfilm,1
77,78,2021,"Ni Hao, Li Huan Ying",841716512.0,,841716512.0,/movie/Ni-Hao-Li-Huan-Ying-(2021-China),Drama,['Nan'],,,[],[],,0,,0,Nan,1
78,79,2009,Transformers: Revenge of the Fallen,836519699.0,402111870.0,434407829.0,/movie/Transformers-Revenge-of-the-Fallen,Action,"['DreamWorks-Pictures', 'Paramount-Pictures', 'Hasbro-Studios', 'di-Bonaventura-Pictures', 'Tom-DeSanto', 'Don-Murphy']",55,491112631.0,"['Shia LaBeouf', 'Megan Fox']",['Michael Bay'],Shia LaBeouf,2,Michael Bay,1,DreamWorks-Pictures,6
79,80,2017,Zhan Lang 2,835474171.0,2721100.0,832753071.0,/movie/Zhan-Lang-2-(China)-(2017),Action,['Nan'],,,[],['Wu Jing'],,0,Wu Jing,1,Nan,1
80,81,2012,"The Twilight Saga: Breaking Dawn, Part 2",829724737.0,292324737.0,537400000.0,/movie/Twilight-Saga-Breaking-Dawn-Part-2-The,Drama,"['Temple-Hill-Entertainment', 'Summit-Entertainment', 'Sunswept-Entertainment']",174,336316984.0,"['Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner']",['Bill Condon'],Kristen Stewart,3,Bill Condon,1,Temple-Hill-Entertainment,3
81,82,2002,Spider-Man,821706375.0,403706375.0,418000000.0,/movie/Spider-Man,Adventure,"['Columbia-Pictures', 'Marvel-Studios', 'Laura-Ziskin-Productions']",22,636480273.0,['Tobey Maguire'],['Sam Raimi'],Tobey Maguire,1,Sam Raimi,1,Columbia-Pictures,3
