,rank,year,movie,wwbox_office,dombox_office,internationalbox_office,url,genre,production_companies,inflation_rank,infl_gross_box_office,actors,directors,main,number_of_stars,director_main,number_of_directors,production_companies_main,number_of_production_companies
748,749,2015,Ted 2,217214143.0,81476385.0,135737758.0,/movie/Ted-2,Comedy,"['Fuzzy-Door', 'Bluegrass-Films']",,,"['Mark Wahlberg', 'Seth MacFarlane']",['Seth MacFarlane'],Mark Wahlberg,2,Seth MacFarlane,1,Fuzzy-Door,2
749,750,2016,Central Intelligence,217194805.0,127440871.0,89753934.0,/movie/Central-Intelligence,Comedy,"['New-Line-Cinema', 'Universal-Pictures', 'RatPac-Entertainment', 'Dune-Entertainment', 'Perfect-World-Pictures', 'Bluegrass-Films', 'Principato-Young-Entertainment']",909,134954729.0,"['Dwayne Johnson', 'Kevin Hart']",['Rawson Marshall Thurber'],Dwayne Johnson,2,Rawson Marshall Thurber,1,New-Line-Cinema,7
750,751,1988,Twins,216600000.0,111936388.0,104663612.0,/movie/Twins,Comedy,['Universal-Pictures'],326,252077008.0,"['Arnold Schwarzenegger', 'Danny DeVito']",['Ivan Reitman'],Arnold Schwarzenegger,2,Ivan Reitman,1,Universal-Pictures,1
751,752,2017,The Emoji Movie,216564840.0,86089513.0,130475327.0,/movie/Emoji-Movie-The,Adventure,['Sony-Pictures-Animation'],,,"['T.J. Miller', 'James Corden', 'Anna Faris']",['Tony Leondis<sup>*</sup>'],T.J. Miller,3,Tony Leondis<sup>*</sup>,1,Sony-Pictures-Animation,1
752,753,1992,Bram Stoker's Dracula,215862692.0,82522790.0,133339902.0,/movie/Dracula-(1992),Horror,"['Columbia-Pictures', 'American-Zoetrope', 'Osiris-Films']",571,182146682.0,[],[],,0,,0,Columbia-Pictures,3
753,754,1989,Ghostbusters II,215500000.0,112494738.0,103005262.0,/movie/Ghostbusters-II,Comedy,['Nan'],311,258258588.0,[],[],,0,,0,Nan,1
754,755,2011,Bad Teacher,215448997.0,100292856.0,115156141.0,/movie/Bad-Teacher,Comedy,"['Sony-Pictures', 'Mosaic-Media']",,,['Cameron Diaz'],['Jake Kasdan'],Cameron Diaz,1,Jake Kasdan,1,Sony-Pictures,2
755,756,2000,The Patriot,215300000.0,113330342.0,101969658.0,/movie/Patriot-The-(2000),Drama,"['Columbia-Pictures', 'Mutual-Film-Company', 'Centropolis-Entertainment']",518,192598499.0,[],[],,0,,0,Columbia-Pictures,3
756,757,2017,Valerian and the City of a Thousand P…,215098356.0,40479370.0,174618986.0,/movie/Valerian-and-the-City-of-a-Thousand-Planets-(France),Adventure,"['EuropaCorp', 'Fundamental-Films', 'BNP-Paribas-Film-Fund', 'River-Road-Entertainment', 'Belga-Films', 'Valerian-S-A-S', 'TF1-Film-Productions', 'OCS', 'Orange-Studio', 'Universum-Film', 'Novo-Pictures']",,,"['Dane DeHaan', 'Cara Delevingne']",['Luc Besson'],Dane DeHaan,2,Luc Besson,1,EuropaCorp,11
757,758,2008,Australia,215080810.0,49554002.0,165526808.0,/movie/Australia-(2008),Drama,"['Twentieth-Century-Fox', 'Bazmark-Film-2-Pty-Ltd']",,,[],[],,0,,0,Twentieth-Century-Fox,2
758,759,2011,Just Go With It,214974953.0,103028109.0,111946844.0,/movie/Just-Go-With-It,Romantic-Comedy,"['Columbia-Pictures', 'Happy-Madison']",,,"['Adam Sandler', 'Jennifer Aniston']",['Dennis Dugan'],Adam Sandler,2,Dennis Dugan,1,Columbia-Pictures,2
759,760,2013,Hansel & Gretel: Witch Hunters,214949716.0,55703475.0,159246241.0,/movie/Hansel-and-Gretel-Witch-Hunters,Action,"['Paramount-Pictures', 'Metro-Goldwyn-Mayer-Pictures', 'MTV-Films', 'Gary-Sanchez-Productions']",,,"['Jeremy Renner', 'Gemma Arterton']",['Tommy Wirkola'],Jeremy Renner,2,Tommy Wirkola,1,Paramount-Pictures,4
760,761,2005,Flightplan,214392904.0,89706988.0,124685916.0,/movie/Flightplan,Thriller-or-Suspense,"['Touchstone-Pictures', 'Imagine-Entertainment', 'Brian-Grazer-Productions']",967,128175266.0,[],[],,0,,0,Touchstone-Pictures,3
761,762,2002,The Bourne Identity,214357371.0,121468960.0,92888411.0,/movie/Bourne-Identity-The,Thriller-or-Suspense,['Kennedy-Marshall-Company-The'],524,191506993.0,[],[],,0,,0,Kennedy-Marshall-Company-The,1
762,763,2015,Xia Luo Te Fan Nao,213949747.0,1289195.0,212660552.0,/movie/Xia-Luo-Te-Fan-Nao-(China)(2015),Romantic-Comedy,"['Beijing-Mahua-Funage-Company', 'New-Classics-Pictures', 'Shenzhen-Tencent-Video-Culture-Communication-LTD', 'Wanda-Media', 'Beijing-Fun-Age-Pictures']",,,['Shen Teng'],"['Da-Mo Peng', 'Fei Yan']",Shen Teng,1,Da-Mo Peng,2,Beijing-Mahua-Funage-Company,5
763,764,1987,Dirty Dancing,213893795.0,63892689.0,150001106.0,/movie/Dirty-Dancing-(1987),Drama,"['Vestron-Pictures', 'Great-American-Films-Limited-Partnership']",801,148103936.0,"['Patrick Swayze', 'Jennifer Grey']",['Emile Ardolino'],Patrick Swayze,2,Emile Ardolino,1,Vestron-Pictures,2
764,765,2018,Smallfoot,213682073.0,83240103.0,130441970.0,/movie/Smallfoot-(2018),Adventure,"['Zaftig-Films', 'RatPac-Entertainment', 'Warner-Bros', 'Warner-Animation-Group']",,,"['Channing Tatum', 'James Corden', 'Zendaya']",['Karey Kirkpatrick'],Channing Tatum,3,Karey Kirkpatrick,1,Zaftig-Films,4
765,766,2018,Creed II,213591522.0,115715889.0,97875633.0,/movie/Creed-II-(2018),Drama,"['Metro-Goldwyn-Mayer-Pictures', 'Warner-Bros', 'New-Line-Cinema', 'Chartoff-Winkler-Productions']",,,"['Sylvester Stallone', 'Michael B. Jordan']",['Steven Caple Jr'],Sylvester Stallone,2,Steven Caple Jr,1,Metro-Goldwyn-Mayer-Pictures,4
766,767,2000,"Crouching Tiger, Hidden Dragon",213514672.0,128067808.0,85446864.0,/movie/Crouching-Tiger-Hidden-Dragon,Action,"['United-China-Vision', 'Asia-Union-Film-and-Entertainment-LTD', 'Sony-Pictures-Classics', 'Edko-Films', 'Good-Machine', 'Columbia-Pictures', 'China-Film-Co-LTD']",459,208352114.0,"['Chow Yun-Fat', 'Zhang Ziyi']",['Ang Lee'],Chow Yun-Fat,2,Ang Lee,1,United-China-Vision,7
767,768,2000,Vertical Limit,213500000.0,68473360.0,145026640.0,/movie/Vertical-Limit,Thriller-or-Suspense,['Nan'],,,[],[],,0,,0,Nan,1
768,769,2011,Battle: Los Angeles,213463976.0,83552429.0,129911547.0,/movie/Battle-Los-Angeles,Action,"['Columbia-Pictures', 'Relativity-Media', 'Original-Film']",,,"['Aaron Eckhart', 'Michelle Rodriguez', 'Ramon Rodriguez']",['Jonathan Liebesman'],Aaron Eckhart,3,Jonathan Liebesman,1,Columbia-Pictures,3
769,770,2000,Miss Congeniality,213420951.0,106807667.0,106613284.0,/movie/Miss-Congeniality,Comedy,"['Castle-Rock-Entertainment', 'Village-Roadshow-Productions']",606,176614995.0,[],[],,0,,0,Castle-Rock-Entertainment,2
770,771,2011,The Help,213120004.0,169705587.0,43414417.0,/movie/Help-The,Drama,"['DreamWorks-Pictures', 'Participant-Media', 'Reliance-BIG-Entertainment', 'Image-Nation-Abu-Dhabi', '1492-Pictures', 'Harbinger-Pictures']",501,196027233.0,"['Emma Stone', 'Viola Davis', 'Bryce Dallas Howard']",['Tate Taylor'],Emma Stone,3,Tate Taylor,1,DreamWorks-Pictures,6
771,772,2004,Lemony Snicket's A Series of Unfortun…,212956024.0,118627117.0,94328907.0,/movie/Lemony-Snickets-A-Series-of-Unfortunate-Events,Adventure,"['Paramount-Pictures', 'DreamWorks-Pictures', 'Parkes-Plus-Macdonald-Productions', 'Nikelodeon-Movies']",623,173874726.0,[],[],,0,,0,Paramount-Pictures,4
772,773,2003,Master and Commander: The Far Side of…,212912137.0,93926386.0,118985751.0,/movie/Master-and-Commander-The-Far-Side-of-the-World,Adventure,"['20th-Century-Fox', 'Miramax-Films', 'Universal-Pictures', 'Samuel-Goldwyn-Films']",850,142200042.0,[],[],,0,,0,20th-Century-Fox,4
773,774,1994,Pulp Fiction,212894343.0,107928762.0,104965581.0,/movie/Pulp-Fiction,Drama,"['Jersey-Films', 'Band-Apart-A']",355,236141777.0,['Uma Thurman'],['Quentin Tarantino'],Uma Thurman,1,Quentin Tarantino,1,Jersey-Films,2
774,775,2014,Into the Woods,212721142.0,128002372.0,84718770.0,/movie/Into-the-Woods,Musical,"['Lucamar', 'Marc-Platt-Productions']",849,142229088.0,['Meryl Streep'],['Rob Marshall'],Meryl Streep,1,Rob Marshall,1,Lucamar,2
775,776,2009,District 9,212453431.0,115646235.0,96807196.0,/movie/District-9,Thriller-or-Suspense,['Wingnut-Films'],858,141242602.0,['Sharlto Copley'],['Neill Blomkamp'],Sharlto Copley,1,Neill Blomkamp,1,Wingnut-Films,1
776,777,2011,Horrible Bosses,212417601.0,117538559.0,94879042.0,/movie/Horrible-Bosses,Comedy,"['New-Line-Cinema', 'Rat-Entertainment']",898,135769630.0,"['Jason Bateman', 'Charlie Day', 'Jason Sudeikis']",['Seth Gordon'],Jason Bateman,3,Seth Gordon,1,New-Line-Cinema,2
777,778,1995,Ace Ventura: When Nature Calls,212400000.0,108360063.0,104039937.0,/movie/Ace-Ventura-When-Nature-Calls,Comedy,"['Morgan-Creek-Productions', 'Warner-Bros']",381,228045867.0,[],[],,0,,0,Morgan-Creek-Productions,2
778,779,2009,Public Enemies,212282709.0,97104620.0,115178089.0,/movie/Public-Enemies-(2009),Drama,"['Universal-Pictures', 'Relativity-Media', 'Forward-Pass', 'Misher-Films', 'Tribeca-Film', 'Appian-Way']",,,"['Johnny Depp', 'Christian Bale', 'Marion Cotillard']",['Michael Mann'],Johnny Depp,3,Michael Mann,1,Universal-Pictures,6
779,780,1994,Disclosure,212200000.0,83015089.0,129184911.0,/movie/Disclosure-(1994),Thriller-or-Suspense,['Nan'],572,182015081.0,[],[],,0,,0,Nan,1
780,781,1999,End of Days,212026975.0,66889043.0,145137932.0,/movie/End-of-Days,Action,['Nan'],,,[],[],,0,,0,Nan,1
